t,x_x,x_y,x_z,y_x_obs,y_z_obs
1.85,-7.019543209,-6.969282347,25.31405576,-6.996691098,27.97197694
1.86,-7.02069709,-7.093871486,25.13491954,-5.307109125,26.81855968
1.87,-7.034135166,-7.229457405,24.97003302,-5.925902163,29.62533922
1.88,-7.059698937,-7.375291016,24.82065733,-7.470022314,20.81361274
1.89,-7.097171989,-7.530585935,24.68801004,-3.888663266,23.77261118
1.9,-7.14628137,-7.694506107,24.57326417,-6.930520481,27.19236554
1.91,-7.206697597,-7.866152403,24.4775446,-10.41121668,21.97425018
1.92,-7.278033365,-8.04454865,24.40192181,-10.48058924,22.81364923
1.93,-7.359841034,-8.228627575,24.34740261,-6.480567822,25.39577829
1.94,-7.451609039,-8.417217229,24.31491767,-6.89906068,21.4893859
1.95,-7.552757394,-8.60902851,24.3053058,-12.17296427,24.41401297
1.96,-7.662632527,-8.802644498,24.31929476,-8.606184595,25.2380663
1.97,-7.780501702,-8.996512378,24.3574787,-6.376594449,24.63396156
1.98,-7.905547362,-9.188938834,24.42029244,-6.385281191,24.87871519
1.99,-8.036861789,-9.378089829,24.50798283,-6.976732378,23.0986363
2,-8.17344249,-9.561995764,24.62057782,-8.532665318,25.01413001
2.01,-8.314188819,-9.738562951,24.75785405,-6.673131868,23.9703717
2.02,-8.457900351,-9.90559232,24.91930403,-7.415565839,24.38762645
2.03,-8.603277577,-10.06080608,25.10410438,-8.838361911,26.76314247
2.04,-8.74892547,-10.20188286,25.31108676,-12.73504621,22.7181421
2.05,-8.893360478,-10.32650145,25.53871356,-11.85773127,20.87148132
2.06,-9.035021417,-10.43239286,25.78506058,-10.3915503,27.28392838
2.07,-9.172284653,-10.5173998,26.04780878,-9.742052786,26.44338894
2.08,-9.303483799,-10.57954205,26.32424765,-7.125048805,28.97961992
2.09,-9.426933954,-10.61708557,26.61129199,-9.565209823,29.31846377
2.1,-9.540960281,-10.62861235,26.90551367,-9.356706964,25.23071722
2.11,-9.643930415,-10.61308769,27.20318935,-10.83273112,24.24211632
2.12,-9.734289902,-10.56992097,27.50036408,-11.51055761,26.7843307
2.13,-9.810599574,-10.49901582,27.79292966,-8.203429535,31.23446932
2.14,-9.871573468,-10.40080591,28.07671565,-12.6359365,28.86237058
2.15,-9.916115716,-10.27627299,28.3475896,-11.99720359,29.29698377
2.16,-9.94335466,-10.12694452,28.60156228,-10.20552796,24.93975062
2.17,-9.952672474,-9.954869863,28.83489275,-8.096078491,27.62489133
2.18,-9.943728632,-9.7625748,29.04418803,-11.01152911,26.90468321
2.19,-9.916475854,-9.552996293,29.22649185,-11.22504241,30.08227273
2.2,-9.871167473,-9.329400329,29.37935799,-10.24965615,30.036682
2.21,-9.808355633,-9.095287254,29.50090425,-9.084511925,32.14222756
2.22,-9.728880263,-8.854289723,29.58984467,-10.41445256,26.63612903
2.23,-9.633849245,-8.610068884,29.64549906,-7.499404412,28.98252272
2.24,-9.524610742,-8.366214332,29.66778055,-7.295425853,30.43453478
2.25,-9.402719015,-8.126152842,29.65716298,-9.664994075,30.35471477
2.26,-9.269895415,-7.893069991,29.61463159,-5.367870295,33.76859264
2.27,-9.127986365,-7.66984759,29.54162087,-8.989224094,29.86200205
2.28,-8.978920227,-7.459018541,29.439944,-6.826439913,27.74862193
2.29,-8.824664842,-7.262739464,29.31171831,-8.158524097,29.25999261
2.3,-8.667187324,-7.082780252,29.15929076,-8.039370902,27.49255315
2.31,-8.508417455,-6.920528832,28.98516702,-11.68755244,24.83920015
2.32,-8.350215637,-6.777008702,28.79194669,-10.58498386,27.87459612
2.33,-8.194346088,-6.652906473,28.58226664,-8.780729262,32.45672897
2.34,-8.04245556,-6.548606517,28.35875357,-5.83046882,26.43457133
2.35,-7.89605762,-6.464229933,28.12398595,-7.200640715,27.30982947
2.36,-7.756522235,-6.399675306,27.88046538,-8.325249911,28.25111668
2.37,-7.62507023,-6.354659109,27.63059646,-6.386727996,26.9520795
2.38,-7.502772023,-6.328754024,27.3766743,-5.375068958,25.09279785
2.39,-7.390549977,-6.32142389,27.12087847,-7.377871852,32.31622593
2.4,-7.289183652,-6.332054391,26.86527232,-6.843024167,29.73170133
2.41,-7.199317252,-6.359978955,26.61180621,-7.016276895,27.7733604
2.42,-7.121468577,-6.404499634,26.36232396,-7.235034966,26.0215088
2.43,-7.05603888,-6.464902958,26.11857107,-8.615003673,26.97917379
2.44,-7.003323044,-6.540470962,25.88220428,-8.706397422,27.21337476
2.45,-6.96351963,-6.630487648,25.65480146,-4.792945621,26.38786428
2.46,-6.936740371,-6.734241283,25.43787133,-7.509237838,26.34580249
2.47,-6.923018794,-6.851022922,25.23286254,-7.540364905,27.10395679
2.48,-6.922317727,-6.980121591,25.04117154,-10.5851299,24.36995681
2.49,-6.934535473,-7.120816557,24.8641491,-10.91615946,21.87402744
2.5,-6.959510552,-7.272367097,24.70310488,-4.231786092,26.49347485
